DISPLAY_SUBJECT_CODE,SUBJECT_CODE,ACTIVITY_GROUP_CODE,SHORT_CODE,STUDENT_CODE,LAST_NAME,PREFERRED_NAME,EMAIL_ADDRESS,WAM_DISPLAY,WAM_VAL,GENDER
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,01_DualMode-P1,54321867,ABC,BCA,babc019@student.monash.edu,BInfoTech-69,69,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,01_DualMode-P1,12345678,HAPPY,FRIDAY,fhap002@student.monash.edu,BCompSci-91.25,91.25,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_DualMode-P2,12345677,KEPLER,FARADAY,fkep010@student.monash.edu,BCompSci-73,73,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,12398267,DAVIDSON,ARCHIE,adav008@student.monash.edu,BEng-85,85,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,39187204,HODGE,EMILIE,ehod023@student.monash.edu,BCompSci-62,62,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_DualMode-P2,40887212,STEIN,RIHANNA,rste005@student.monash.edu,BInfoTech-46.45,46.45,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_DualMode-P1,32459103,MOONEY,ZOHAIB,zmoo034@student.monash.edu,BEng-88,88,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_DualMode-P2,45310009,YOUNG,DANIELLA,dyou109@student.monash.edu,BInfoTech-50.25,50.25,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,03_DualMode-P1,12569024,MCNEIL,ELA,emcn072@student.monash.edu,BEng-88,88,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_DualMode-P2,34251045,SIMMONS,UMAIR,usim009@student.monash.edu,BCompSci-92,92,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,01_DualMode-P1,33333333,HART,WAYNE,whar086@student.monash.edu,BInfoTech-54.5,54.5,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,10982943,O'MOORE,MIKAYLA,momo054@student.monash.edu,BCompSci-68,68,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_DualMode-P2,56783124,OWENS,ELLIE-MAE,eowe002@student.monash.edu,BCompSci-57,57,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_DualMode-P2,40981234,STEPHENS,BILAL,bste109@student.monash.edu,BInfoTech-45.85,45.85,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,01_DualMode-P1,10986402,MERRIT,MAHNOOR,mmer071@student.monash.edu,BInfoTech-67,67,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,45670987,ALLEN,JOAO,jall103@student.monash.edu,BEng-60.55,60.55,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,10908070,OBRIEN,COLIN,cobr128@student.monash.edu,BEng-56,56,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,01_DualMode-P1,54210982,BROWN,BLAINE,bbro025@student.monash.edu,BInfoTech-92,92,M
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,19749075,BOWMAN,MAGGIE,mbow018@student.monash.edu,BCompSci-88.2,88.2,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,30982934,MELENDEZ,BESSIE,bmel095@student.monash.edu,BCompSci-83.75,83.75,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,01_DualMode-P1,38976210,WALTERS,SOPHIE,swal002@student.monash.edu,BInfoTech-59,59,F
FIT2099_CL_S1_ON-CAMPUS,FIT2099_CL_S1_ON-CAMPUS,Applied,02_OnCampus,37609812,YODER,SAHIL,syod186@student.monash.edu,BEng-90.3,90.3,M
