lastName,preferredName,gender,email,wam,studentId,labCode
Edward,Husain,M,hedw@student.monash.edu,75,10000001,0_
Vaugham,Bartie,M,bvau@student.monash.edu,75,10000002,0_
Pottes,Ravid,M,rpot@student.monash.edu,64,10000003,0_
Samme,Ax,M,asam@student.monash.edu,83,10000004,0_
Ianno,Humbert,M,hian@student.monash.edu,92,10000005,0_
Chezelle,Shaine,M,sche@student.monash.edu,86,10000006,0_
Hews,Slade,M,shew@student.monash.edu,61,10000007,0_
Schwieso,Dickie,M,dsch@student.monash.edu,77,10000008,0_
Armit,Galvin,M,garm@student.monash.edu,79,10000009,0_
Kleisel,Nickolai,M,nkle@student.monash.edu,61,10000010,0_
Winsome,Ferdie,M,fwin@student.monash.edu,70,10000011,0_
Godby,Rhys,M,rgod@student.monash.edu,68,10000012,0_
Gannaway,Miller,M,mgan@student.monash.edu,90,10000013,0_
Brea,Hinze,M,hbre@student.monash.edu,80,10000014,0_
Scrivinor,Armin,M,ascr@student.monash.edu,84,10000015,0_
Ayre,Skipp,M,sayr@student.monash.edu,79,10000016,0_
Thacker,Fidel,M,ftha@student.monash.edu,65,10000017,0_
De La Haye,Wylie,M,wde @student.monash.edu,54,10000018,0_
Glazzard,Darius,M,dgla@student.monash.edu,88,10000019,0_
Shellibeer,Nathaniel,M,nshe@student.monash.edu,73,10000020,0_
Prescote,Virgilio,M,vpre@student.monash.edu,81,10000021,0_
Doree,Janos,M,jdor@student.monash.edu,66,10000022,0_
Papes,Curran,M,cpap@student.monash.edu,51,10000023,0_
Delamaine,Hussein,M,hdel@student.monash.edu,74,10000024,0_
Camili,Arin,M,acam@student.monash.edu,55,10000025,0_
Swynfen,Magnum,M,mswy@student.monash.edu,95,10000026,0_
McMenemy,Greg,M,gmcm@student.monash.edu,57,10000027,0_
Blackham,Seth,M,sbla@student.monash.edu,69,10000028,0_
Meconi,Mordy,M,mmec@student.monash.edu,66,10000029,0_
Brockhouse,Anson,M,abro@student.monash.edu,68,10000030,0_
Vicent,Lorin,M,lvic@student.monash.edu,62,10000031,0_
Portingale,Putnem,M,ppor@student.monash.edu,61,10000032,0_
Filde,Filmer,M,ffil@student.monash.edu,57,10000033,0_
Arsey,Ulysses,M,uars@student.monash.edu,81,10000034,0_
Bartlet,Luke,M,lbar@student.monash.edu,73,10000035,0_
Grundon,Isadore,M,igru@student.monash.edu,93,10000036,0_
Monahan,Patrick,M,pmon@student.monash.edu,85,10000037,0_
Fairburn,Archie,M,afai@student.monash.edu,98,10000038,0_
Carletti,Ned,M,ncar@student.monash.edu,90,10000039,0_
Findlater,Travers,M,tfin@student.monash.edu,95,10000040,0_
Mence,Franky,M,fmen@student.monash.edu,77,10000041,0_
Deeming,Carrol,M,cdee@student.monash.edu,88,10000042,0_
Meltetal,Tedmund,M,tmel@student.monash.edu,80,10000043,0_
Bennell,Lucian,M,lben@student.monash.edu,60,10000044,0_
Brettelle,Abdul,M,abre@student.monash.edu,84,10000045,0_
Bredgeland,Frannie,M,fbre@student.monash.edu,59,10000046,0_
Parkey,Colman,M,cpar@student.monash.edu,67,10000047,0_
Tsarovic,Alfonso,M,atsa@student.monash.edu,60,10000048,0_
Heynen,Sherwin,M,shey@student.monash.edu,100,10000049,0_
McMillan,Jeramey,M,jmcm@student.monash.edu,92,10000050,0_
Mokes,Baldwin,M,bmok@student.monash.edu,54,10000051,0_
Pietrzyk,Lay,M,lpie@student.monash.edu,83,10000052,0_
Borrell,Aksel,M,abor@student.monash.edu,87,10000053,0_
Seaking,Claudius,M,csea@student.monash.edu,80,10000054,0_
Sherbourne,Klemens,M,kshe@student.monash.edu,99,10000055,0_
Laverty,Artur,M,alav@student.monash.edu,76,10000056,0_
Beavers,Abeu,M,abea@student.monash.edu,68,10000057,0_
Matveichev,Alford,M,amat@student.monash.edu,68,10000058,0_
Lindwasser,Buddy,M,blin@student.monash.edu,70,10000059,0_
Blinde,Whitney,M,wbli@student.monash.edu,91,10000060,0_
Fissenden,Hakeem,M,hfis@student.monash.edu,65,10000061,0_
Creenan,Dunc,M,dcre@student.monash.edu,95,10000062,0_
D'eathe,Carlin,M,cd'e@student.monash.edu,60,10000063,0_
Eliesco,Waverly,M,weli@student.monash.edu,78,10000064,0_
Dibling,Rudyard,M,rdib@student.monash.edu,65,10000065,0_
Ashurst,Jenni,F,jash@student.monash.edu,66,10000066,0_
Hadleigh,Paola,F,phad@student.monash.edu,89,10000067,0_
McLleese,Nisse,F,nmcl@student.monash.edu,99,10000068,0_
Enbury,Marcy,F,menb@student.monash.edu,98,10000069,0_
Krale,Mireielle,F,mkra@student.monash.edu,51,10000070,0_
Radleigh,Brinna,F,brad@student.monash.edu,62,10000071,0_
Ghiron,Romola,F,rghi@student.monash.edu,68,10000072,0_
Badini,Elaine,F,ebad@student.monash.edu,53,10000073,0_
Gallacher,Cherey,F,cgal@student.monash.edu,84,10000074,0_
Abbyss,Rasia,F,rabb@student.monash.edu,55,10000075,0_
Nathan,Kayla,F,knat@student.monash.edu,69,10000076,0_
Murricanes,Gisella,F,gmur@student.monash.edu,72,10000077,0_
Chung,Gusti,F,gchu@student.monash.edu,96,10000078,0_
Birdsey,Jacklin,F,jbir@student.monash.edu,50,10000079,0_
Baccup,Winny,F,wbac@student.monash.edu,93,10000080,0_
Robert,Regine,F,rrob@student.monash.edu,95,10000081,0_
Viscovi,Rivalee,F,rvis@student.monash.edu,69,10000082,0_
Rantoul,Valeria,F,vran@student.monash.edu,85,10000083,0_
Sebley,Lynette,F,lseb@student.monash.edu,73,10000084,0_
Steynor,Gavrielle,F,gste@student.monash.edu,92,10000085,0_
Presdee,Libby,F,lpre@student.monash.edu,85,10000086,0_
Wavish,Alverta,F,awav@student.monash.edu,59,10000087,0_
Snodin,Ardyth,F,asno@student.monash.edu,95,10000088,0_
Ferrer,Jemmy,F,jfer@student.monash.edu,75,10000089,0_
Windless,Lorie,F,lwin@student.monash.edu,55,10000090,0_
Adderson,Pauletta,F,padd@student.monash.edu,54,10000091,0_
Caswill,Novelia,F,ncas@student.monash.edu,100,10000092,0_
Vowdon,Kessia,F,kvow@student.monash.edu,63,10000093,0_
Pietranek,Tedra,F,tpie@student.monash.edu,64,10000094,0_
Bouchier,Krissie,F,kbou@student.monash.edu,92,10000095,0_
Hayhow,Hazel,F,hhay@student.monash.edu,87,10000096,0_
Howson,Esta,F,ehow@student.monash.edu,73,10000097,0_
William,Orsa,F,owil@student.monash.edu,68,10000098,0_
Cotterel,Olivette,F,ocot@student.monash.edu,53,10000099,0_
Gange,Lulita,F,lgan@student.monash.edu,75,10000100,0_
Jorio,Sheelah,F,sjor@student.monash.edu,67,10000101,0_
Loudyan,Adi,F,alou@student.monash.edu,56,10000102,0_
Huckerby,Laurel,F,lhuc@student.monash.edu,80,10000103,0_
Waltering,Minne,F,mwal@student.monash.edu,82,10000104,0_
Faucherand,Row,F,rfau@student.monash.edu,84,10000105,0_
O'Crigane,Mina,F,mo'c@student.monash.edu,64,10000106,0_
Porrett,Darby,F,dpor@student.monash.edu,87,10000107,0_
Giacopetti,Valry,F,vgia@student.monash.edu,64,10000108,0_
Falconer-Taylor,Sheelagh,F,sfal@student.monash.edu,77,10000109,0_
Mockler,Beverley,F,bmoc@student.monash.edu,86,10000110,0_
Baudain,Molly,F,mbau@student.monash.edu,69,10000111,0_
Ramsdell,Joelynn,F,jram@student.monash.edu,66,10000112,0_
Rigolle,Meridel,F,mrig@student.monash.edu,75,10000113,0_
Inchbald,Peri,F,pinc@student.monash.edu,50,10000114,0_
Piercey,Valaree,F,vpie@student.monash.edu,84,10000115,0_
Neljes,Netty,F,nnel@student.monash.edu,66,10000116,0_
Dregan,Simona,F,sdre@student.monash.edu,78,10000117,0_
Hurche,Margit,F,mhur@student.monash.edu,61,10000118,0_
Dee,Amandy,F,adee@student.monash.edu,87,10000119,0_
Trendle,Christian,F,ctre@student.monash.edu,83,10000120,0_
Churchill,Ashely,F,achu@student.monash.edu,96,10000121,0_
Senter,La verne,F,lsen@student.monash.edu,75,10000122,0_
Cheer,Aurie,F,ache@student.monash.edu,97,10000123,0_
Kinglake,Alyse,F,akin@student.monash.edu,87,10000124,0_
Iverson,Sarene,F,sive@student.monash.edu,87,10000125,0_
Cordaroy,Jeniffer,F,jcor@student.monash.edu,97,10000126,0_
Rosenblatt,Indira,F,iros@student.monash.edu,93,10000127,0_
Blanshard,Maryellen,F,mbla@student.monash.edu,90,10000128,0_
Blann,Odille,F,obla@student.monash.edu,95,10000129,0_
Falkner,Catherine,F,cfal@student.monash.edu,64,10000130,0_
Olyunin,Lynett,F,loly@student.monash.edu,77,10000131,0_
Fullard,Danyette,F,dful@student.monash.edu,75,10000132,0_
Edmunds,Allie,F,aedm@student.monash.edu,77,10000133,0_
Vinas,Brit,F,bvin@student.monash.edu,78,10000134,0_
Braithwaite,Mufi,F,mbra@student.monash.edu,72,10000135,0_
Thonger,Shellie,F,stho@student.monash.edu,96,10000136,0_
Laker,Jennie,F,jlak@student.monash.edu,75,10000137,0_
Melpuss,Letty,F,lmel@student.monash.edu,83,10000138,0_
Nunnerley,Anet,F,anun@student.monash.edu,73,10000139,0_
Bendan,Manon,F,mben@student.monash.edu,98,10000140,0_
Swindell,Roxie,F,rswi@student.monash.edu,96,10000141,0_
Grieger,Lydie,F,lgri@student.monash.edu,72,10000142,0_
Roizn,Avril,F,aroi@student.monash.edu,92,10000143,0_
Josefsohn,Adorne,F,ajos@student.monash.edu,54,10000144,0_
Bygott,Janina,F,jbyg@student.monash.edu,50,10000145,0_
De Santos,Constanta,F,cde @student.monash.edu,84,10000146,0_
Munby,Tiphani,F,tmun@student.monash.edu,64,10000147,0_
Flippini,Lavinia,F,lfli@student.monash.edu,54,10000148,0_
Levy,Joell,F,jlev@student.monash.edu,67,10000149,0_
Yerill,Hildegaard,F,hyer@student.monash.edu,51,10000150,0_
Andren,Geri,F,gand@student.monash.edu,98,10000151,0_
Affleck,Tillie,F,taff@student.monash.edu,50,10000152,0_
Disney,Aurore,F,adis@student.monash.edu,87,10000153,0_
Truelock,Jeannette,F,jtru@student.monash.edu,57,10000154,0_
Glinde,Bride,F,bgli@student.monash.edu,86,10000155,0_
